Competition_id,Date_id,Match_id,Round,Stage,Coordinates x,Coordinates y,Event,Event-Game,Event-player,Id_played,Hero,Team,Time
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,55.35%,58.50%,Kill Mid-lane,Kill,Mid-lane,Depezett,Zhask,EVOS Icon,2:23
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,55.72%,57.17%,Death Exp-lane,Death,Exp-lane,Markk,Thamuz,Dewa United Morpheus,2:23
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,53.35%,66.50%,Kill Mid-lane,Kill,Mid-lane,Depezett,Zhask,EVOS Icon,2:28
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,55.39%,62.83%,Death Jungler-line,Death,Jungler-line,Manta,Hayabusa,Dewa United Morpheus,2:28
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,42.35%,32.17%,Death Jungler-line,Death,Jungler-line,Nazara,Lancelot,EVOS Icon,4:03
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,42.05%,32.17%,Kill Jungler-line,Kill,Jungler-line,Manta,Hayabusa,Dewa United Morpheus,4:03
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,42.02%,36.83%,Death Roamer-lane,Death,Roamer-lane,Alevaa,Khufra,EVOS Icon,4:11
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,42.05%,35.17%,Kill Roamer-lane,Kill,Roamer-lane,panpan,Minotaur,Dewa United Morpheus,4:11
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,46.69%,52.83%,Death Exp-lane,Death,Exp-lane,Saykots,Terizla,EVOS Icon,4:23
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,46.39%,54.50%,Kill Roamer-lane,Kill,Roamer-lane,panpan,Minotaur,Dewa United Morpheus,4:23
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,44.35%,55.83%,Death Mid-lane,Death,Mid-lane,Depezett,Zhask,EVOS Icon,4:55
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,47.05%,54.17%,Kill Jungler-line,Kill,Jungler-line,Manta,Hayabusa,Dewa United Morpheus,4:55
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,56.35%,71.70%,Death Exp-lane,Death,Exp-lane,Saykots,Terizla,EVOS Icon,7:15
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,57.05%,72.03%,Kill Exp-lane,Kill,Exp-lane,Markk,Thamuz,Dewa United Morpheus,7:15
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,6.35%,24.37%,Kill gold-lane,Kill,gold-lane,Inaya,Claude,EVOS Icon,7:16
MDL_mid2024,8/5/2024,mdl_gr1d1_m1,1,Group Stage,7.39%,21.37%,Death gold-lane,Death,gold-lane,Maybe,Roger,Dewa United Morpheus,7:16
